,AGE,SEX,PAY_6,PAY_4,PAY_5,PAY_2,PAY_3,PAY_0,BILL_AMT5,BILL_AMT4,BILL_AMT6,LIMIT_BAL,BILL_AMT3,BILL_AMT2,PAY_AMT6,PAY_AMT5,PAY_AMT4,PAY_AMT3,PAY_AMT2,PAY_AMT1,BILL_AMT1,MARRIAGE,EDUCATION,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119377664171
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083079591033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000170125427985
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202458643664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.00020309176209
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305925964025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000242446201708
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396632888753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000289426612472
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476716059621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000345510729459
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547290853013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.00041246263829
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608198762593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371674726856,0.371674726856,0.000492388263171
